nome,categoria,cidade,telefone,rating,avaliacoes,tem_website,website_url
"Clinica Medico-Dentaria 5 de Outubro, Lda",Clinica Dentaria,4100-175 Porto,22 600 3704,4.5,14,nao,
Clínica Ruy Garcia,Clinica Dentaria,4050-223 Porto,913 555 245,4.9,174,nao,
Urgências Dentárias 24 Horas,Clinica Dentaria,4100-365 Porto,912 204 948,5,12,sim,https://urgencias-24horas.com/
Clínica Médico Dentária Da Prelada Lda,Clinica Dentaria,4250-242 Porto,22 832 8031,4.1,140,sim,http://dentista.com.pt/
Clínica Isabel Flores Allen - Alinhadores Invisíveis,Clinica Dentaria,4100-175 Porto,22 114 0070,4.8,121,sim,https://www.ifaclinic.com/
Clínica Bessa,Clinica Dentaria,4100-012 Porto,912 308 905,4.8,478,sim,http://www.clinicabessa.pt/
Clínica Dr. João Neto,Clinica Dentaria,4400-320 Porto,929 190 013,4.9,195,sim,http://clinicadrjoaoneto.pt/
Clínica Dentária Santa Catarina,Clinica Dentaria,4000-444 Porto,22 509 3518,4.2,108,sim,http://www.cdsantacatarina.pt/
Dental Light Porto,Clinica Dentaria,4050-012 Porto,912 060 000,4.8,395,sim,https://dentallight.pt/clinicas/?utm_source=google&utm_medium=organic&utm_campaign=gmb_porto
Clínica Raiz - Medicina Dentária,Clinica Dentaria,4250-377 Porto,910 162 145,5,136,sim,http://www.clinicaraiz.pt/
Clínica Médica Dentária - Dra. Marta Novais,Clinica Dentaria,4000-302 Porto,918 393 131,4.9,226,sim,http://martanovais.pt/
Instituto Areluna,Clinica Dentaria,4050-027 Porto,966 939 539,4.9,491,sim,https://institutoareluna.pt/
Clínica Médis Medicina Dentária Bom Sucesso,Clinica Dentaria,4150-146 Porto,22 043 7880,4.8,191,sim,https://www.clinicamedis.pt/clinicas/detalhe-da-clinica?id=7119
Smile More Porto | Medicina Dentária,Clinica Dentaria,4200-049 Porto,914 103 928,4.7,480,sim,https://smilemoreclinic.pt/
Clinica Médica Jardim,Clinica Dentaria,4100-260 Porto,961 227 251,4.8,223,sim,https://www.clinicamedicajardim.com/a-clinica-porto/
Clínica Jorge Moura,Clinica Dentaria,4000-446 Porto,22 332 1834,4.9,233,sim,https://clinicajorgemoura.constantcircle.co/
Clínica da Boca - Dentista Porto,Clinica Dentaria,4000-138 Porto,22 240 5122,4.6,71,sim,https://www.instagram.com/clinicaoraldouro/
"Clínica Médico Dentária Dr. Abílio Pinha de Almeida, Lda.",Clinica Dentaria,R. do Cerco do Porto 24 1.º Andar,22 537 2728,4.8,30,sim,http://www.projetamossorrisos.pt/
Centro de Medicina Dentaria do Porto,Clinica Dentaria,4050-115 Porto,22 600 5815,4.4,41,sim,http://cmdentariaporto.com/
Clínica Dentofacial do Porto (Clínica PCMFG),Clinica Dentaria,4150-744 Porto,22 600 1616,5,260,sim,http://www.clinicapcmfg.com/
Korpus de Beleza - Centro De Estética,Centro de Estetica,4050-107 Porto,930 488 094,5,15,nao,
Dra.Alexandra Miranda Estética,Centro de Estetica,4100-065 Porto,911 997 412,5,8,nao,
Vívian Castro Gabinete de Estética,Centro de Estetica,4100-172 Porto,912 535 076,5,77,nao,
Elis Estética,Centro de Estetica,4050-042 Porto,939 021 751,5,112,nao,
Liliana Rocha - Estética Avançada,Centro de Estetica,4100-009 Porto,911 555 868,5,46,nao,
Estética Claudia Barcelos Beauty,Centro de Estetica,4100-113 Porto,963 924 942,5,25,sim,https://claudiabarcelosbeauty.com/
Gabinete Estética Berta Nunes,Centro de Estetica,4050-426 Porto,918 960 340,5,13,sim,https://instagram.com/gabinete_estetica_berta_nunes?igshid=NGVhN2U2NjQ0Yg%3D%3D&utm_source=qr
Grace beauty center,Centro de Estetica,4150-368 Porto,926 717 002,5,27,sim,https://gracebeautycenter.pt/
Centro Estética - Beautymoment,Centro de Estetica,4250-541 Porto,912 477 933,4.9,13,sim,https://www.facebook.com/Beautymomentcentroestetica
KathBrows - Centro de estética /Formações,Centro de Estetica,4100-172 Porto,912 021 686,5,13,sim,https://you.zappysoftware.com/kathbrows
MagikClinic | Estética Avançada no Porto,Centro de Estetica,4050-256 Porto,910 375 085,5,256,sim,https://instagram.com/magikclinic?igshid=YmMyMTA2M2Y=
Helena Novais Estética e Bem Estar,Centro de Estetica,4050-012 Porto,923 120 248,5,111,sim,https://pt.zappysoftware.com/m/helenanovaisesteticaebem-estar
Estética Isabel Soares,Centro de Estetica,4050-214 Porto,917 443 879,4.8,233,sim,https://estetica-isabel-soares.buk.pt/
Estética For Men Woman - Centro de Massagem e Estética,Centro de Estetica,4100-132 Porto,916 624 951,5,230,sim,http://www.esteticaformenwoman.com/
Pure Senses Clinic,Centro de Estetica,4100-365 Porto,914 497 911,4.9,76,sim,https://puresensesclinic.com/
Ana Teresa Estética,Centro de Estetica,4050-327 Porto,967 536 650,4.4,46,sim,http://www.anateresaestetica.pt/
Universo da Beleza Porto,Centro de Estetica,4050-343 Porto,913 121 912,5,64,sim,https://www.instagram.com/universodabeleza_porto/
Amat Estética,Centro de Estetica,4050-225 Porto,925 728 040,5,51,sim,http://amatestetica.com/
Centro de Estética e Saúde Edite Mesquita,Centro de Estetica,4000-118 Porto,22 208 1240,4.8,118,sim,http://www.cesem.com.pt/
Liseta Oliveira Welness & academy,Centro de Estetica,4050-160 Porto,915 630 278,5,79,sim,http://lisetaoliveira.pt/
Hair Identity,Salao de Cabeleireiro,4050-381 Porto,934 528 072,4.8,145,nao,
Lurdes Marques Cabeleireiros,Salao de Cabeleireiro,4200-010 Porto,968 713 607,4.9,335,nao,
Lim beauty concept,Salao de Cabeleireiro,Via Futebol Clube do Porto 699,938 314 793,4.8,125,nao,
Marisa Rocha Cabeleireiros,Salao de Cabeleireiro,4200-534 Porto,22 493 8383,4.9,85,nao,
WD STUDIO HAIR - Cabeleireiro e Salão de Beleza no Porto,Salao de Cabeleireiro,4200-371 Porto,930 516 912,4.9,112,sim,https://wdstudiohair.com/
Gomes CorteseCores,Salao de Cabeleireiro,4000-033 Porto,22 510 6847,4.9,1079,sim,https://www.instagram.com/gomescortesecores/
MAGIKHAIR - Cabelereiro e Estética Porto,Salao de Cabeleireiro,4050-276 Porto,910 375 085,4.8,417,sim,https://www.instagram.com/magik.hair/
Foz Concept Cabeleireiro,Salao de Cabeleireiro,4150-318 Porto,22 618 9012,4.9,675,sim,https://www.instagram.com/fozconcept/
D'Ellas & D'Elles - Porto,Salao de Cabeleireiro,4200-195 Porto,22 491 6653,4.7,180,sim,https://www.instagram.com/dellasdelles.pt/
Mateus Pereira Especialista em Loiros,Salao de Cabeleireiro,4050-440 Porto,920 165 940,4.9,121,sim,https://instagram.com/mateusrpereira?igshid=YmMyMTA2M2Y=
Ivonne - Cabeleireiros e Estética,Salao de Cabeleireiro,4000-470 Porto,914 976 945,4.9,470,sim,http://www.ivonne.pt/
Cachos Brasil Porto,Salao de Cabeleireiro,4100-359 Porto,22 600 1269,4.9,245,sim,http://cachosbrasil.pt/
Cristina Cruz - Cabeleireiros,Salao de Cabeleireiro,4050-007 Porto,22 200 3947,4.8,142,sim,https://www.instagram.com/cristinacruzcabeleireiros/reels/
Mô Nascimento Salão,Salao de Cabeleireiro,4050-440 Porto,939 545 531,4.9,71,sim,https://sites.google.com/view/monascimentosalao/p%C3%A1gina-inicial
Cabeleireiro no Porto - Romeu Gomes Hair Oficial,Salao de Cabeleireiro,4100-476 Porto,915 129 889,4.9,70,sim,https://www.instagram.com/romeugomeshairoficial/
L´Atelier TF - Porto,Salao de Cabeleireiro,4000-119 Porto,913 583 438,4.9,151,sim,http://inventore.net/agenda-online-gicnet/?id=Atdr0102203
Creative Porto,Salao de Cabeleireiro,4200-198 Porto,,4.9,133,sim,https://instagram.com/creativeporto?igshid=YmMyMTA2M2Y=
Eva Beauty Hub,Salao de Cabeleireiro,4000-509 Porto,961 386 732,4.8,559,sim,https://evabeautyhub.com/
Sandra Alves Cabeleireiros - Hairstylist/Colorist,Salao de Cabeleireiro,4200-335 Porto,912 641 948,4.9,150,sim,https://instagram.com/sandra.alves.colorist?igshid=OGQ5ZDc2ODk2ZA==
Carla Pereira Studio,Salao de Cabeleireiro,4050-145 Porto,22 316 8223,4.5,139,sim,https://www.instagram.com/carlapereira.studio/
